object,latitude,longitude,true_location,cluster,PredictedLocation
picnic_table,115.9972816677781,-31.83042013524614,Ugly_Duckling_Wines,3,Ugly Duckling Wines
picnic_umbrella,115.9973045597328,-31.83039529464335,Ugly_Duckling_Wines,3,Ugly Duckling Wines
picnic_umbrella,115.9972807007919,-31.83041309005974,Ugly_Duckling_Wines,3,Ugly Duckling Wines
picnic_umbrella,115.9974222588125,-31.83059039674292,Ugly_Duckling_Wines,3,Ugly Duckling Wines
picnic_umbrella,115.9973755276259,-31.83062496370694,Ugly_Duckling_Wines,3,Ugly Duckling Wines
picnic_table,115.9972085542997,-31.83044919552612,Ugly_Duckling_Wines,3,Ugly Duckling Wines
picnic_table,115.9971975624587,-31.83055048589921,Ugly_Duckling_Wines,3,Ugly Duckling Wines
shed,115.9972416499528,-31.83057537982879,Ugly_Duckling_Wines,3,Ugly Duckling Wines
shed,115.9971742512736,-31.8306575917034,Ugly_Duckling_Wines,3,Ugly Duckling Wines
shed,115.997296680735,-31.83065965298827,Ugly_Duckling_Wines,3,Ugly Duckling Wines
tree,115.9971388569162,-31.83079043292682,Ugly_Duckling_Wines,3,Ugly Duckling Wines
tree,115.9971802611804,-31.83079112085596,Ugly_Duckling_Wines,3,Ugly Duckling Wines
tree,115.9972163578717,-31.83079315668379,Ugly_Duckling_Wines,3,Ugly Duckling Wines
tree,115.9972577899615,-31.83078775293374,Ugly_Duckling_Wines,3,Ugly Duckling Wines
tree,115.9973048744194,-31.83079115492708,Ugly_Duckling_Wines,3,Ugly Duckling Wines
tree,115.9973561509557,-31.83078777975723,Ugly_Duckling_Wines,3,Ugly Duckling Wines
tree,115.9974216940731,-31.83079186264361,Ugly_Duckling_Wines,3,Ugly Duckling Wines
building,116.0086270958327,-31.84668336675156,Oakover_Grounds,4,Oakover Grounds
pond,116.0076430354346,-31.84590359767057,Oakover_Grounds,4,Oakover Grounds
bridge,116.0075575103231,-31.84638920015648,Oakover_Grounds,4,Oakover Grounds
island,116.0077438974485,-31.84633325480655,Oakover_Grounds,4,Oakover Grounds
vineyard,116.0059960349935,-31.84630620908671,Oakover_Grounds,4,Oakover Grounds
swimming_pool,116.0046871040282,-31.84642682355494,Oakover_Grounds,4,Oakover Grounds
building,116.0047242747774,-31.84660379451255,Oakover_Grounds,4,Oakover Grounds
building,116.0049137333173,-31.84534087718281,Oakover_Grounds,4,Oakover Grounds
tennis_court,116.0049529458494,-31.84497134212882,Oakover_Grounds,4,Oakover Grounds
swimming_pool,116.0046804703044,-31.84520480790187,Oakover_Grounds,4,Oakover Grounds
shade_cloth,116.0046414836387,-31.84519057474693,Oakover_Grounds,4,Oakover Grounds
sign,116.0066284586833,-31.84696779013872,Oakover_Grounds,4,Oakover Grounds
warehouse,116.0060571495129,-31.84505951047444,Oakover_Grounds,4,Oakover Grounds
vat,116.0063688107167,-31.84518456887401,Oakover_Grounds,4,Oakover Grounds
vat,116.0063718225668,-31.84515103476856,Oakover_Grounds,4,Oakover Grounds
vat,116.0063741620266,-31.84510853881709,Oakover_Grounds,4,Oakover Grounds
vat,116.0063804564964,-31.84507695999562,Oakover_Grounds,4,Oakover Grounds
building,116.0066406806117,-31.84512567428841,Oakover_Grounds,4,Oakover Grounds
parking_lot,116.0070043014552,-31.84527487175123,Oakover_Grounds,4,Oakover Grounds
solar_panels,116.0073642354885,-31.84487684093081,Oakover_Grounds,4,Oakover Grounds
solar_panels,116.0073623012661,-31.84496527724279,Oakover_Grounds,4,Oakover Grounds
building,116.007341994294,-31.84505688510912,Oakover_Grounds,4,Oakover Grounds
