name,longitude,latitude,date,origin,source,class_confidence,ground_truth_location
North Cleveland Park,-77.070533,38.950111,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/157624802,0.7,None
Riverdale Park,-76.929652,38.96151,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/157625795,0.7,None
Rollingwood,-77.068589,38.983443,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/157626012,0.7,None
American University Park,-77.089978,38.9515,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/157633177,0.7,None
Lincoln Park,-76.989617,38.889447,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/157634410,0.7,None
Westgate,-77.101923,38.955111,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/157636530,0.7,None
Douglass,-76.977753,38.848446,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/157636686,0.7,None
Lyon Village,-77.096535,38.892982,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/157640622,0.7,None
Greenwich Forest,-77.111353,38.989588,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158225899,0.7,None
Pagett's Corner,-76.928307,38.793169,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158226554,0.7,None
Cleveland Park,-77.058707,38.935231,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158227512,0.7,None
Barnaby Manor Oaks,-76.967753,38.818169,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158233749,0.7,None
Battery Lane,-77.101353,38.992453,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158235716,0.7,None
Trinidad,-76.98442,38.905667,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158237080,0.7,None
Huntington,-77.070571,38.79401,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158238568,0.7,None
Cameron Valley,-77.086089,38.808169,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158239200,0.7,None
Crestwood,-77.040532,38.941778,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158239757,0.7,None
Dupont Heights,-76.924418,38.862057,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158240819,0.7,None
Riverdale Gardens,-76.913307,38.968722,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158241114,0.7,None
Washington Highlands,-76.994698,38.832057,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158242731,0.7,None
North Barnaby,-76.954696,38.82178,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158242943,0.7,None
South Lawn,-76.99192,38.792892,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158242974,0.7,None
Bethesda,-77.094245,38.984682,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158248181,0.7,None
Georgetown,-77.062785,38.905199,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158249984,0.7,None
College Heights,-76.94053,38.975944,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158250042,0.7,None
Bellevue,-77.010317,38.826532,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158250162,0.7,None
Barnaby Woods,-77.0597,38.974833,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158252218,0.7,None
Oxon Run Hills,-76.961641,38.844002,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158252929,0.7,None
Tenleytown,-77.080274,38.948904,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158259609,0.7,None
Westmoreland Hills,-77.105557,38.950967,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158261210,0.7,None
College Park,-77.082756,38.811502,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158261775,0.7,None
Parkfairfax,-77.079425,38.83706,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158262143,0.7,None
Ellaville,-76.94303,38.959277,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158267440,0.7,None
Bladensburg,-76.933798,38.9393,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158267497,0.7,None
Mount Ida,-77.065813,38.830115,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158268674,0.7,None
Addison Heights,-77.060255,38.855668,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158269692,0.7,None
High Point,-77.118453,38.964028,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158270507,0.7,None
Arnold Heights,-76.936363,38.853724,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158273358,0.7,None
Woodley Park,-77.052838,38.925173,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158273399,0.7,None
Edmonston,-76.931677,38.947117,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158277716,0.7,None
Mount Rainier,-76.959698,38.936485,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158277755,0.7,None
Rock Creek Gardens,-77.046922,38.993166,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158280078,0.7,None
Duke Gardens,-77.099423,38.810669,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158281211,0.7,None
Colonial Village,-77.041705,38.987016,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158284466,0.7,None
Glover Park,-77.0772,38.920945,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158284531,0.7,None
Dunlop's Hills,-77.066644,38.99011,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158284602,0.7,None
Dalecrest,-77.10359,38.814557,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158285354,0.7,None
Rosslyn,-77.072478,38.896778,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158286062,0.7,None
Adams Morgan,-77.042199,38.9215,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158286707,0.7,None
West Chevy Chase Heights,-77.0872,38.99261,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158286819,0.7,None
Silver Hill,-76.945808,38.84178,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158287897,0.7,None
Tuxedo,-76.921747,38.918658,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158299548,0.7,None
The Hamlet,-77.073589,38.986777,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158300756,0.7,None
Twining,-76.961591,38.876576,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158302193,0.7,None
Browns Corner,-76.992754,38.993999,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158305119,0.7,None
Arlington Forest,-77.114586,38.869925,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158306532,0.7,None
Glen Mar Park,-77.118868,38.957888,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158308449,0.7,None
Kenwood,-77.10536,38.970857,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158308471,0.7,None
Brookside Manor,-76.976365,38.964833,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158308756,0.7,None
Fort Lincoln,-76.956364,38.922334,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158315461,0.7,None
The Palisades,-77.101367,38.925111,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158316896,0.7,None
Cheverly,-76.915807,38.928167,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158318936,0.7,None
Shaw,-77.021365,38.912056,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158320241,0.7,None
Villa Heights,-76.918585,38.937333,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158320273,0.7,None
Rosedale Park,-77.091367,38.991499,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158323428,0.7,None
Shirley Duke,-77.109145,38.815391,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158323944,0.7,None
Chillum Heights,-76.981365,38.959833,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158326473,0.7,None
Riverdale Heights,-76.91505,38.963834,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158329846,0.7,None
Westwood,-77.108589,38.966222,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158329952,0.7,None
Marlow Heights,-76.949881,38.823484,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158333615,0.7,None
Shepherd Park,-77.031799,38.979743,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158337811,0.7,None
Chevy Chase Section Three,-77.073832,38.979068,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158344942,0.7,None
Hyattsville,-76.940865,38.952944,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158345898,0.7,None
Chapel Oaks,-76.917751,38.908167,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158345943,0.7,None
Benning,-76.950783,38.893547,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158346318,0.7,None
Logan Circle,-77.029626,38.909778,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158348629,0.7,None
Queens Chapel Manor,-76.961086,38.958722,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158348892,0.7,None
Chapel Hill,-77.087758,38.819282,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158349639,0.7,None
Suitland Manor,-76.926085,38.853446,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158349876,0.7,None
Edgewood,-77.110812,38.993721,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158350414,0.7,None
Hillcrest,-76.95803,38.862057,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158352237,0.7,None
Sumner,-77.114979,38.955388,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158353337,0.7,None
Brentwood,-76.984427,38.92095,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158355020,0.7,None
College Park,-76.936919,38.980666,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158355126,0.7,None
Sligo Park Hills,-77.010532,38.992055,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158360095,0.7,None
Shirlington,-77.090703,38.841008,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158362474,0.7,None
Cottage City,-76.951829,38.938203,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158366703,0.7,None
Pinehurst Circle,-77.080256,38.971043,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158368425,0.7,None
Washington,-77.036543,38.895037,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158368533,0.7,None
Warwick Village,-77.064424,38.834282,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158372715,0.7,None
Ducat Town,-76.919696,38.954,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158373397,0.7,None
Chevy Chase Manor,-77.066644,38.978721,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158374677,0.7,None
Broadview,-76.92664,38.812613,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158377771,0.7,None
Spring Valley,-77.098867,38.939555,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158379347,0.7,None
Gordons Corner,-76.939974,38.832613,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158381295,0.7,None
Dupont Park,-76.96397,38.872378,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158382189,0.7,None
Glen Cove,-77.0972,38.957333,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158382453,0.7,None
University Heights,-76.993587,38.939833,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/158383652,0.7,None
