name,longitude,latitude,date,origin,source,class_confidence,ground_truth_location
IGA Swan View,116.042263,-31.88548,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/822127155,0.7,None
Pizza Hut,116.039587,-31.885568,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/822162665,0.7,None
Pig & Whistle Bar & Bistro,116.04087,-31.885424,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/884827684,0.7,None
Stratton Supa IGA,116.034976,-31.869238,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/888701481,0.7,None
Chicken Treat Stratton,116.034401,-31.868881,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/888701486,0.7,None
Better Choice Stratton,116.034396,-31.869698,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/888701494,0.7,None
Georges Fish Shop,116.033762,-31.895962,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/948115238,0.7,None
Midland Police Station,116.002351,-31.886766,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/948144435,0.7,None
The Eastern,116.003176,-31.89012,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/948148612,0.7,None
Ace Midland Gate Cinemas,116.008718,-31.889306,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/948149797,0.7,None
Oliver Court,116.023884,-31.87023,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/972249226,0.7,None
Subway Aveley,115.980555,-31.795266,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1009798103,0.7,None
Pizza Hut Ellenbrook,115.980551,-31.795195,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1009798158,0.7,None
Romano's Pizzeria,115.973458,-31.791176,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1009950273,0.7,None
Ellenbrook Fish and Chips,115.973522,-31.791178,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1009950278,0.7,None
Woodlake Chinese Restaurant,115.973597,-31.791176,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1009950283,0.7,None
curry Lovers,115.973954,-31.791321,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1009950285,0.7,None
Domino's,115.967489,-31.781142,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1009950312,0.7,None
Noodle Bar,115.967421,-31.781203,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1009950317,0.7,None
Harry and the Boys,115.967358,-31.78126,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1009950321,0.7,None
Dôme,115.966691,-31.781826,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1009950327,0.7,None
The Slippery Eel,115.967314,-31.782566,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1009950385,0.7,None
Chicken Treat,115.967603,-31.782492,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1009950388,0.7,None
Ellenbrook Police Station,115.966675,-31.780396,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1009950424,0.7,None
Thirsty Camel Bottle Shop,115.980013,-31.794829,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1009950430,0.7,None
Amaretto's,115.967377,-31.782476,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1009950443,0.7,None
Savage Suzuki,116.028784,-31.894077,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1022272161,0.7,None
Darling Range Pub,116.032386,-31.895511,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1022272171,0.7,None
Bayleaf Indian Restaurant,116.032464,-31.895456,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1022272190,0.7,None
Polaris,116.034604,-31.895249,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1022273567,0.7,None
Cavvy Store,115.974716,-31.879701,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1056070102,0.7,None
Sandalford Winery,115.992759,-31.868701,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1069253580,0.7,None
Middle Swan Liquor Store & Deli,116.020217,-31.868198,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1069297015,0.7,None
Armies Fish and Chips,116.020362,-31.868154,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1069297231,0.7,None
Indigenous artwork display,116.020464,-31.868155,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1069299063,0.7,None
Waldecks,116.016018,-31.849314,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1069302845,0.7,None
Nikola Estate,115.997995,-31.854112,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1069306958,0.7,None
Artra Art Studio,115.99029,-31.839689,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1069321828,0.7,None
Ellenbrook Fruit and Veg,115.973965,-31.790929,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1227323933,0.7,None
All Saints Church,116.004163,-31.795872,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1227326142,0.7,None
Edgecombe Brothers,115.998571,-31.795187,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1227333254,0.7,None
Swan Valley Sisters,115.99746,-31.79543,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1231954436,0.7,None
Woodlake Ampitheatre,115.975356,-31.790488,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1231958443,0.7,None
Middle Swan Liquor Store,116.020218,-31.868266,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1270412763,0.7,None
The Principal,116.007159,-31.889603,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1301835708,0.7,None
Swan Valley Oasis Resort,116.0011,-31.808923,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1354575366,0.7,None
LazerCorps,116.001407,-31.808941,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1361075630,0.7,None
Mash Brewery,116.001087,-31.808826,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1361076725,0.7,None
Yeltrah Gallery,116.0347,-31.835971,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1378522526,0.7,None
Yagan Memorial Park,116.018903,-31.780373,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1379548745,0.7,None
Yagan Memorial,116.016948,-31.780415,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1379548746,0.7,None
Little River Winery and Café,116.000888,-31.824124,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1415592708,0.7,None
Black Swan Winery and Restaurant,116.00085,-31.823404,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1415592711,0.7,None
Midland Public Library,116.004166,-31.887785,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1463847325,0.7,None
Midland Courthouse,116.002322,-31.887401,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1465060472,0.7,None
Ellenbrook,115.966562,-31.782739,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1468352790,0.7,None
Woolworths,115.968499,-31.783121,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1473222546,0.7,None
Coles,115.970274,-31.781925,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1473222548,0.7,None
Big W,115.96982,-31.783192,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1473222969,0.7,None
Mineworks Group Workshop,116.035762,-31.895139,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1491152937,0.7,None
Guildford Old Courthouse,115.971988,-31.898423,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1504407683,0.7,None
Aveley,115.986226,-31.787069,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1546255534,0.7,None
Swan View,116.047118,-31.88002,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1546259484,0.7,None
Midvale,116.026851,-31.886383,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1546259489,0.7,None
Stratton,116.040477,-31.867155,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1546259494,0.7,None
Bikeforce Ellenbrook,115.968583,-31.778021,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1557971661,0.7,None
Feral Brewing Company,116.036584,-31.797927,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1575142525,0.7,None
Toodyay Road after Roe Highway,116.026145,-31.868314,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1705017624,0.7,None
Toodyay Road after Brown Street,116.024657,-31.86877,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1705017634,0.7,None
The Crescent after Keane Street,116.00653,-31.888889,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1705017788,0.7,None
Moorditj Noongar Community College,116.025978,-31.878289,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1705084933,0.7,None
Dome Café,116.007147,-31.889829,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1708115490,0.7,None
Supa IGA,116.004008,-31.89094,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1708116703,0.7,None
Heritage Trail,116.040801,-31.89401,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1723839255,0.7,None
Heritage Trail,116.040613,-31.894098,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1723839274,0.7,None
Heritage Trail,116.040861,-31.894369,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1723839275,0.7,None
Heritage Trail,116.031588,-31.899647,15-07-23 10:59:22,osm,https://www.openstreetmap.org/node/1728787161,0.7,None
