name,longitude,latitude,date,origin,source,object_prob,assignment_prob,ground_truth_location
crossing,115.982075,-31.895145,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/32485733,0.7,1,None
crossing,115.976219,-31.898668,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/32522370,0.7,1,None
level_crossing,115.98185,-31.895455,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/32522378,0.7,1,None
level_crossing,115.988869,-31.892207,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/32522385,0.7,1,None
level_crossing,115.996081,-31.891174,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/32522391,0.7,1,None
switch,115.998213,-31.891172,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/32522393,0.7,1,None
switch,115.999156,-31.891241,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/32522394,0.7,1,None
buffer_stop,116.001402,-31.891697,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/32522396,0.7,1,None
tower,115.967165,-31.878909,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/63150851,0.7,1,None
tower,115.970372,-31.880085,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/63150875,0.7,1,None
tower,115.977693,-31.882766,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/63150894,0.7,1,None
tower,115.983078,-31.884688,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/63150909,0.7,1,None
tower,115.983369,-31.886841,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/63150919,0.7,1,None
tower,115.983687,-31.888986,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/63150925,0.7,1,None
tower,115.984097,-31.89231,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/63150949,0.7,1,None
tower,115.984316,-31.894528,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/63150964,0.7,1,None
tower,115.988303,-31.895727,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/63150973,0.7,1,None
tower,115.990397,-31.896422,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/63150977,0.7,1,None
tower,115.993689,-31.897489,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/63150986,0.7,1,None
tower,115.995641,-31.898042,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/63150993,0.7,1,None
tower,116.000134,-31.899791,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/63151010,0.7,1,None
tower,115.964238,-31.856003,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/63151527,0.7,1,None
tower,115.967298,-31.855978,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/63151537,0.7,1,None
tower,115.970205,-31.855978,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/63151563,0.7,1,None
tower,115.973114,-31.855979,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/63151584,0.7,1,None
tower,115.975333,-31.856022,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/63151615,0.7,1,None
