name,longitude,latitude,date,origin,source,class_confidence,ground_truth_location
Middle Swan Liquor Store & Deli,116.020217,-31.868198,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1069297015,0.7,None
Armies Fish and Chips,116.020362,-31.868154,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1069297231,0.7,None
Indigenous artwork display,116.020464,-31.868155,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1069299063,0.7,None
Waldecks,116.016018,-31.849314,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1069302845,0.7,None
Nikola Estate,115.997995,-31.854112,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1069306958,0.7,None
Artra Art Studio,115.99029,-31.839689,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1069321828,0.7,None
Ellenbrook Fruit and Veg,115.973965,-31.790929,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1227323933,0.7,None
All Saints Church,116.004163,-31.795872,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1227326142,0.7,None
Edgecombe Brothers,115.998571,-31.795187,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1227333254,0.7,None
Swan Valley Sisters,115.99746,-31.79543,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1231954436,0.7,None
Woodlake Ampitheatre,115.975356,-31.790488,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1231958443,0.7,None
Middle Swan Liquor Store,116.020218,-31.868266,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1270412763,0.7,None
The Principal,116.007159,-31.889603,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1301835708,0.7,None
Swan Valley Oasis Resort,116.0011,-31.808923,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1354575366,0.7,None
LazerCorps,116.001407,-31.808941,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1361075630,0.7,None
