name,longitude,latitude,date,origin,source,object_prob,assignment_prob,ground_truth_location,cluster,predicted_location
crossing,115.966476,-31.790592,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/210331177,0.7,0.5,None,-1,
crossing,115.966576,-31.790629,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/223620727,0.7,0.5,None,-1,
turning_circle,115.970659,-31.794007,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/243649355,0.7,0.5,None,-1,
bus_stop,115.965608,-31.785031,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244314822,0.7,0.5,None,-1,
bus_stop,115.967553,-31.783721,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244314825,0.7,0.5,None,-1,
bus_stop,115.972607,-31.784915,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244314854,0.7,0.5,None,-1,
bus_stop,115.971894,-31.790989,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244314855,0.7,0.5,None,-1,
bus_stop,115.973114,-31.789797,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244491134,0.7,0.5,None,-1,
bus_stop,115.973,-31.789742,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244491136,0.7,0.5,None,-1,
turning_circle,115.975059,-31.795245,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244491884,0.7,0.5,None,-1,
turning_circle,115.977022,-31.795211,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244491887,0.7,0.5,None,-1,
turning_circle,115.975902,-31.795293,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244491890,0.7,0.5,None,-1,
turning_circle,115.977834,-31.794949,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244492129,0.7,0.5,None,-1,
turning_circle,115.977733,-31.794204,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244492134,0.7,0.5,None,-1,
turning_circle,115.970498,-31.795289,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244492178,0.7,0.9123666801201901,None,134,Woodlake IGA
bus_stop,115.970315,-31.79579,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244759141,0.7,0.9319839329899924,None,134,Woodlake IGA
bus_stop,115.974539,-31.79577,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244759150,0.7,0.5,None,-1,
bus_stop,115.995178,-31.795726,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244759159,0.7,0.5,None,-1,
bus_stop,116.005757,-31.788472,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244759169,0.7,0.5,None,-1,
bus_stop,116.022542,-31.783815,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244782856,0.7,0.5,None,-1,
bus_stop,116.022996,-31.787934,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244782867,0.7,0.5,None,-1,
bus_stop,116.022865,-31.788088,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244782878,0.7,0.5,None,-1,
bus_stop,116.021489,-31.794822,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244782930,0.7,0.5,None,-1,
bus_stop,116.02083,-31.79781,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244782941,0.7,0.5,None,-1,
bus_stop,116.020149,-31.801798,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244782965,0.7,0.5,None,-1,
bus_stop,116.020207,-31.803813,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244782976,0.7,0.5,None,-1,
bus_stop,116.019713,-31.804014,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244782992,0.7,0.5,None,-1,
bus_stop,116.019465,-31.806465,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244783004,0.7,0.5,None,-1,
bus_stop,116.01971,-31.806889,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244783016,0.7,0.5,None,-1,
bus_stop,116.018664,-31.812492,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244783028,0.7,0.5,None,-1,
